TOWARIDX;ACTIVE;PRODUCT_CODE;NAME;TAX_ID;UNIT;PRODUCER;CATEGORY
HT5K284-1-L/GTV;1;HT5K284-1-L/GTV;Bluza robocza EDGAR II szaro-czarna rozmiar L (52) GTV HT5K284-1-L;1;szt;GTV;Bez kategorii
HT5K284-1-XL/GTV;1;HT5K284-1-XL/GTV;Bluza robocza EDGAR II szaro-czarna rozmiar XL (54) GTV HT5K284-1-XL;1;szt;GTV;Bez kategorii
HT5K284-1-2XL/GTV;1;HT5K284-1-2XL/GTV;Bluza robocza EDGAR II szaro-czarna rozmiar 2XL (56) GTV HT5K284-1-2XL;1;szt;GTV;Bez kategorii
HT5K284-1-3XL/GTV;1;HT5K284-1-3XL/GTV;Bluza robocza EDGAR II szaro-czarna rozmiar 3XL (58) GTV HT5K284-1-3XL;1;szt;GTV;Bez kategorii
ADZ316D/HAG;1;ADZ316D/HAG;Wyłącznik różnicowoprądowy nadprądowy RCBO 3x1P+N B16 30mA 6kA Typ A Hager ADZ316D;1;szt;HAGER;Bez kategorii
WL4800/HAG;1;WL4800/HAG;Gniazdo zasilające lumina z uziemieniem USB-C 2,4A 12W IP20 białe Hager WL4800;1;szt;HAGER;Bez kategorii
SPE440S/HAG;1;SPE440S/HAG;Ogranicznik przepięć SPD T2 4P 4+0 TN-S In20kA Imax40kA Up1,35kV Hager SPE440S;1;szt;HAGER;Bez kategorii
713531/HLK;1;713531/HLK;Kabel fotowoltaiczny SOLARFLEX-X H1Z2Z2-K 1x6mm2 1m czarny Helukabel 713531;1;km;HELUKABEL;Bez kategorii
713569/HLK;1;713569/HLK;Kabel fotowoltaiczny SOLARFLEX-X H1Z2Z2-K 1x6mm2 1m czerwony Helukabel 713569;1;km;HELUKABEL;Bez kategorii
11024828/HLK;1;11024828/HLK;Gniazdo PV MC4 Evo 2 4-6mm2 1500V IP68 Helukabel 11024828;1;szt;HELUKABEL;Bez kategorii
11024829/HLK;1;11024829/HLK;Wtyk PV MC4 Evo 2 4-6mm2 1500V IP68 Helukabel 11024829;1;szt;HELUKABEL;Bez kategorii
28997/KAN;1;28997/KAN;Oprawa elewacyjna solarna LED REKA 6W 600lm 3000-6500K IP65 z czujnikiem mikrofalowym grafitowa Kanlux 28997;1;szt;KANLUX;Bez kategorii
45930/KAN;1;45930/KAN;Lampa ogrodowa kula STONO E27 200mm IP65 biała Kanlux 45930;1;szt;KANLUX;Bez kategorii
39740/KAN;1;39740/KAN;Plafoniera LED ENELO 10W 880lm 4000K IP44 biała Kanlux 39740;1;szt;KANLUX;Bez kategorii
ST057770/LAN;1;ST057770/LAN;Czujnik obecności i ruchu Steinel IS 2360-3 ECO 2000W biały ST057770;1;szt;LANGE ŁUKASZUK;Bez kategorii
ST081706/LAN;1;ST081706/LAN;Czujnik obecności i ruchu Steinel IS 2360-3 ECO 2000W czarny ST081706;1;szt;LANGE ŁUKASZUK;Bez kategorii
FL06381216/LAN;1;FL06381216/LAN;Zestaw wkrętaków elektrycznych FELO E-SMART SLIM 12 cz. VDE FL06381216;1;kpl;LANGE ŁUKASZUK;Bez kategorii
