PRODUKTY ZAREJESTROWANE Z KATALOGÓW PRODUCENTÓW
LP;Kod towaru;Nazwa towaru;Nazwa dodatkowa;Kod producenta;JM;Cena netto;Waluta
12;"DP/42/KON";"Zaœlepka ramki bez mostka - mocowanie ty";"lko na zatrzask do ramki. Do modu³ów wewnêtrznych w ramkach wielokrotnych: kaszmirowy";"DP/42";"szt";15,75;"PLN"
13;"DS9L.01/42/KON";"Œciemniacz obrotowy do LED œciemnialnych";" 230 V (modu³) 2-250 W: kaszmirowy. Maksymalna iloœæ zróde³ LED - 10 szt.";"DS9L.01/42";"szt";205;"PLN"
14;"DS9T.01/42/KON";"Œciemniacz naciskowo-obrotowy (modu³) 20";".-500 W: kaszmirowy";"DS9T.01/42";"szt";166,3;"PLN"
15;"DS9V.01/42/KON";"Regulator 1-10 V (modu³). Do za³¹czania ";"i regulacji Ÿróde³ œwiat³a z zasilaczami sterowanymi napiêciem 1-10 V: kaszmirowy";"DS9V.01/42";"szt";166,3;"PLN"
16;"DS9L2.01/42/KON";"Œciemniacz obrotowy dwubiegunowy do LED ";"œciemnialnych 230V (modu³) 5-215W: kaszmirowy *Wymagana instalacja 4-przewodowa";"DS9L2.01/42";"szt";212,7;"PLN"
17;"DS13T.01/42/KON";"Œciemniacz naciskowy i zdalnie sterowany";" (modu³) 20-500 W: kaszmirowy";"DS13T.01/42";"szt";224,4;"PLN"
18;"DCR10P.01/42/KON";"£¹cznik z czujnikiem ruchu z przekaŸniki";"em (modu³) 8(2) A, 230V~: kaszmirowy *Wymagana instalacja 3-przewodowa";"DCR10P.01/42";"szt";347,7;"PLN"
19;"DCR10T.01/42/KON";"£¹cznik z czujnikiem ruchu (modu³) 20-50";"0 W: kaszmirowy";"DCR10T.01/42";"szt";317,85;"PLN"
20;"DCR11P.01/42/KON";"£¹cznik z czujnikiem ruchu z przekaŸniki";"em z zabezpieczeniem (modu³) 8(2)A, 230V~: kaszmirowy *Wymagana instalacja 3-przewodowa";"DCR11P.01/42";"szt";347,7;"PLN"
21;"DSS1.01/42/KON";"Sygnalizator œwietlny LED - œwiat³o bia³";"e (modu³) 230V~: kaszmirowy";"DSS1.01/42";"szt";104,7;"PLN"
22;"DSS2.01/42/KON";"Sygnalizator œwietlny LED - œwiat³o czer";"wone (modu³) 230V~: kaszmirowy";"DSS2.01/42";"szt";104,7;"PLN"
23;"DSS3.01/42/KON";"Sygnalizator œwietlny LED - œwiat³o ziel";"one (modu³) 230V~: kaszmirowy";"DSS3.01/42";"szt";104,7;"PLN"
24;"DTRNW.01/42/KON";"Regulator temperatury z wyœwietlaczem z ";"czujnikiem wewnêtrznym (modu³) 16(2) A, 230V~: kaszmirowy";"DTRNW.01/42";"szt";525,45;"PLN"
25;"DTRNSZ.01/42/KON";"Regulator temperatury z wyœwietlaczem z ";"czujnikiem zewnêtrznym (modu³) 16(2) A, 230V~: kaszmirowy *W komplecie czujnik zewnêtrzny (sonda)";"DTRNSZ.01/42";"szt";590,1;"PLN"
26;"DDS1.01/42/KON";"Dzwonek elektroniczny (modu³) 230V~: kas";"zmirowy";"DDS1.01/42";"szt";128,85;"PLN"
27;"DDT1.01/42/KON";"Dzwonek elektroniczny (modu³) 8-12 V~: k";"aszmirowy";"DDT1.01/42";"szt";139,3;"PLN"
28;"DEW4.01/42/KON";"Elektroniczny ³¹cznik/przycisk 4-krotny,";" do sterowania 4 obwodami (modu³): kaszmirowy";"DEW4.01/42";"szt";219,25;"PLN"
29;"DPRZ/42/KON";"Pierœcieñ dekoracyjny: kaszmirowy";"";"DPRZ/42";"szt";13,9;"PLN"
30;"DC2USB.01/42/KON";"£adowarka 2 x USB (modu³), 2.1 A, 5V DC,";" 230V: kaszmirowy";"DC2USB.01/42";"szt";109;"PLN"
31;"DEC2CAQ.01/42/KON";"£adowarka USB C+A (modu³), 30W, 230V: ka";"szmirowy";"DEC2CAQ.01/42";"szt";155,1;"PLN"
32;"DETD1A.01/42/KON";"Termostat programowalny z wyœwietlaczem ";"z wew/zewn czujnikiem temperatury, bez sondy (modu³) 16(2) A, 230V~: kaszmirowy";"DETD1A.01/42";"szt";485,65;"PLN"
33;"DSC/42/KON";"Puszka natynkowa pojedyncza, sk³adana do";" ramek Simon 54 PREMIUM. G³êbokoœæ 40 mm (1 szt. DSC/.. = 2 elementy): kaszmirowy";"DSC/42";"szt";24,3;"PLN"
34;"DSH/42/KON";"Puszka natynkowa - element rozszerzaj¹cy";" puszkê pojedyncz¹ sk³adan¹ DSC do ramek wielokrotnych. G³êbokoœæ 40 mm: kaszmirowy";"DSH/42";"szt";18,05;"PLN"
35;"DPN1/42/KON";"Puszka natynkowa 1-krotna do ramek PREMI";"UM. G³êbokoœæ 35 mm: kaszmirowy";"DPN1/42";"szt";19,7;"PLN"
36;"DPN2/42/KON";"Puszka natynkowa 2-krotna do ramek PREMI";"UM. G³êbokoœæ 35 mm: kaszmirowy";"DPN2/42";"szt";31,85;"PLN"
37;"DPN3/42/KON";"Puszka natynkowa 3-krotna do ramek PREMI";"UM. G³êbokoœæ 35 mm: kaszmirowy";"DPN3/42";"szt";39,35;"PLN"
38;"DPNR2/42/KON";"Puszka natynkowa naro¿na 2-krotna do ram";"ek PREMIUM: kaszmirowy";"DPNR2/42";"szt";36,1;"PLN"
39;"DKW1/42/KON";"Klawisz do mechanizmów: SW1M, SW6M, SW7M";", SP1M: kaszmirowy";"DKW1/42";"szt";14,65;"PLN"
40;"DKW1L/42/KON";"Klawisz z oczkiem do mechanizmów: SW1M, ";"SW6M, SW7M, SP1M: kaszmirowy";"DKW1L/42";"szt";15,15;"PLN"
41;"DKWK1/42/KON";"Klawisz pojedynczy z piktogramem klucza ";"do ³¹czników/przycisków: kaszmirowy";"DKWK1/42";"szt";15,3;"PLN"
42;"DKW5/42/KON";"Klawisze do mechanizmów: SW5M, SP2M: kas";"zmirowy";"DKW5/42";"szt";19,95;"PLN"
43;"DKW5L/42/KON";"Klawisze z oczkiem do mechanizmów: SW5M,";" SP2M: kaszmirowy";"DKW5L/42";"szt";21,85;"PLN"
44;"DKW6/2/42/KON";"Klawisze do mechanizmu SW6/2M: kaszmirow";"y";"DKW6/2/42";"szt";20,2;"PLN"
45;"DKW9/42/KON";"Klawisze do mechanizmów: SW6/2XLM, SW7/2";"XM, SW6P1M: kaszmirowy";"DKW9/42";"szt";20,75;"PLN"
46;"DKW9L/42/KON";"Klawisze z oczkiem do mechanizmów: SW6/2";"XLM, SW7/2XM, SW6P1M: kaszmirowy";"DKW9L/42";"szt";23,85;"PLN"
47;"DKZP1/42/KON";"Klawisze do mechanizmu SZP1M: kaszmirowy";"";"DKZP1/42";"szt";21,65;"PLN"
48;"DKZP1W/42/KON";"Klawisze do mechanizmu SZP1WM: kaszmirow";"y";"DKZP1W/42";"szt";24;"PLN"
