PRODUKTY ZAREJESTROWANE Z KATALOGÓW PRODUCENTÓW
LP;Kod towaru;Nazwa towaru;Nazwa dodatkowa;Kod producenta;JM;Cena netto;Waluta
1;"DT2.01/42/KON";"Gniazdo telefoniczne podwójne RJ12 (modu";"³): kaszmirowy";"DT2.01/42";"szt";70,55;"PLN"
2;"D61E.01/42/KON";"Gniazdo komputerowe pojedyncze RJ45 kate";"goria 6, ekranowane z przes³on¹ przeciwkurzow¹ (modu³): kaszmirowy";"D61E.01/42";"szt";105,2;"PLN"
3;"D62.01/42/KON";"Gniazdo komputerowe podwójne RJ45 katego";"ria 6, z przes³on¹ przeciwkurzow¹ (modu³): kaszmirowy";"D62.01/42";"szt";149,15;"PLN"
4;"D62E.01/42/KON";"Gniazdo komputerowe podwójne RJ45 katego";"ria 6 ekranowane z przes³on¹ przeciwkurzow¹ (modu³): kaszmirowy";"D62E.01/42";"szt";166,55;"PLN"
5;"D5T.01/42/KON";"Gniazdo komputerowe RJ45 kategoria 5e + ";"telefoniczne RJ12 (modu³): kaszmirowy";"D5T.01/42";"szt";104,55;"PLN"
6;"DKP2.01/42/KON";"Pokrywa gniazd teleinformatycznych na Ke";"ystone p³aska podwójna (modu³): kaszmirowy";"DKP2.01/42";"szt";24;"PLN"
7;"DKP2B.01/42A/KON";"Pokrywa gniazd teleinformatycznych IP44 ";"na Keystone podwójna z polem opisowym, klapka transparentna: kaszmirowy *Wymagana uszczelka IP44 do ramki";"DKP2B.01/42A";"szt";31,15;"PLN"
8;"DKP1S.01/42/KON";"Pokrywa gniazd teleinformatycznych na Ke";"ystone skoœna pojedyncza z polem opisowym (modu³). Monta¿ na ³apki i wkrêty: kaszmirowy";"DKP1S.01/42";"szt";29,05;"PLN"
9;"DKP2S.01/42/KON";"Pokrywa gniazd teleinformatycznych na Ke";"ystone skoœna podwójna z polem opisowym (modu³). Monta¿ na ³apki i wkrêty: kaszmirowy";"DKP2S.01/42";"szt";28,1;"PLN"
10;"DPK1.01/42/KON";"Przy³¹cze kabla (modu³): kaszmirowy";"";"DPK1.01/42";"szt";39,1;"PLN"
11;"DPS.01/42/KON";"Zaœlepka ramki (modu³). Mocowanie za pom";"oc¹ ³apek lub wkrêtów: kaszmirowy";"DPS.01/42";"szt";21,6;"PLN"
