PRODUKTY ZAREJESTROWANE Z KATALOGÓW PRODUCENTÓW
LP;Kod towaru;Nazwa towaru;Nazwa dodatkowa;Kod producenta;JM;Cena netto;Waluta
1;"DP31.01/42/KON";"Przycisk potrójny (modu³) 10AX, 250V~, s";"zybkoz³¹cza: kaszmirowy";"DP31.01/42";"szt";63,05;"PLN"
2;"DP31L.01/42/KON";"Przycisk potrójny z podœwietleniem LED (";"modu³) 10AX, 250V~, szybkoz³¹cza: kaszmirowy";"DP31L.01/42";"szt";75,8;"PLN"
3;"DP4.01/42/KON";"Przycisk poczwórny (modu³) 10 AX, 250 V~";", szybkoz³¹cza: kaszmirowy";"DP4.01/42";"szt";81;"PLN"
4;"DZP1.01/42/KON";"Przycisk roletowy (modu³) 10AX, 250V~, s";"zybkoz³¹cza: kaszmirowy";"DZP1.01/42";"szt";56,1;"PLN"
5;"DZP1A.01/42/KON";"Przycisk roletowy (modu³) 16AX, 250V~, z";"aciski œrubowe: kaszmirowy";"DZP1A.01/42";"szt";59,3;"PLN"
6;"DZW1K.01/42/KON";"£¹cznik roletowy trójpozycyjny 1-0-2 (mo";"du³): kaszmirowy";"DZW1K.01/42";"szt";52,6;"PLN"
7;"DZW2N.01/42/KON";"£¹cznik roletowy podwójny trójpozycyjny ";"1-0-2 (modu³) 10 A, 250 V~, szybkoz³¹cza: kaszmirowy";"DZW2N.01/42";"szt";83,1;"PLN"
8;"DZP2.01/42/KON";"Przycisk roletowy podwójny trójpozycyjny";" 1-0-2 (modu³) 10 A, 250 V~, szybkoz³¹cza: kaszmirowy";"DZP2.01/42";"szt";83,1;"PLN"
9;"DZP1W.01/42/KON";"Przycisk roletowy do sterowania rolet¹ z";" wielu miejsc (modu³) 10AX, 250V~, zaciski œrubowe: kaszmirowy";"DZP1W.01/42";"szt";71,45;"PLN"
10;"DD1.01/42/KON";"Przycisk „dzwonek” (modu³) 10AX, 250V~, ";"szybkoz³¹cza: kaszmirowy";"DD1.01/42";"szt";35,9;"PLN"
11;"DD1L.01/42/KON";"Przycisk „dzwonek” z podœwietleniem LED ";"(modu³) 10AX, 250V~, szybkoz³¹cza: kaszmirowy";"DD1L.01/42";"szt";48,65;"PLN"
12;"DD1A.01/42/KON";"Przycisk „dzwonek” (modu³) 16AX, 250V~, ";"zaciski œrubowe: kaszmirowy";"DD1A.01/42";"szt";39,1;"PLN"
13;"DD1AL.01/42/KON";"Przycisk „dzwonek” z podœwietleniem LED ";"(modu³) 16AX, 250V~, zaciski œrubowe: kaszmirowy";"DD1AL.01/42";"szt";51,85;"PLN"
14;"DS1.01/42/KON";"Przycisk „œwiat³o” (modu³) 10AX, 250V~, ";"szybkoz³¹cza: kaszmirowy";"DS1.01/42";"szt";35,9;"PLN"
15;"DS1L.01/42/KON";"Przycisk „œwiat³o” z podœwietleniem LED ";"(modu³) 10AX, 250V~, szybkoz³¹cza: kaszmirowy";"DS1L.01/42";"szt";48,65;"PLN"
16;"DS1A.01/42/KON";"Przycisk „œwiat³o” (modu³) 16AX, 250V~, ";"zaciski œrubowe: kaszmirowy";"DS1A.01/42";"szt";39,1;"PLN"
17;"DS1AL.01/42/KON";"Przycisk „œwiat³o” z podœwietleniem LED ";"(modu³) 16AX, 250V~, zaciski œrubowe: kaszmirowy";"DS1AL.01/42";"szt";51,85;"PLN"
18;"DP1.01/42/KON";"Przycisk pojedynczy zwierny bez piktogra";"mu (modu³) 10AX, 250V~, szybkoz³¹cza: kaszmirowy";"DP1.01/42";"szt";35,4;"PLN"
19;"DP1L.01/42/KON";"Przycisk pojedynczy zwierny z podœwietle";"niem LED bez piktogramu (modu³) 10AX, 250V~, szybkoz³¹cza: kaszmirowy";"DP1L.01/42";"szt";48,15;"PLN"
20;"DP1A.01/42/KON";"Przycisk pojedynczy zwierny bez piktogra";"mu (modu³) 16AX, 250V~, zaciski œrubowe: kaszmirowy";"DP1A.01/42";"szt";38,6;"PLN"
21;"DP1AL.01/42/KON";"Przycisk pojedynczy zwierny z podœwietle";"niem LED bez piktogramu (modu³) 16AX, 250V~, zaciski œrubowe: kaszmirowy";"DP1AL.01/42";"szt";51,35;"PLN"
22;"DPR1.01/42/KON";"Przycisk pojedynczy rozwierny bez piktog";"ramu (modu³) 10AX, 250V~, szybkoz³¹cza: kaszmirowy";"DPR1.01/42";"szt";43,25;"PLN"
23;"DP2.01/42/KON";"Przycisk podwójny zwierny bez piktogramu";" (modu³) 10AX, 250V~, szybkoz³¹cza: kaszmirowy";"DP2.01/42";"szt";48,5;"PLN"
24;"DP1K.01/42/KON";"£¹cznik na kluczyk chwilowy - przycisk (";"modu³) 2 pozycyjny „0-I” styk N/O, 5 A, 250~. Mo¿liwoœæ wyjêcia klucza tylko w pozycji 0: kaszmirowy";"DP1K.01/42";"szt";459,9;"PLN"
25;"DPZK.01/42/KON";"£¹cznik na kluczyk roletowy chwilowy -pr";"zycisk (modu³) 3 poz. „I-0-II"" 2 styki N/O, 5A, 250~. Mo¿liwoœæ wyjêcia klucza tylko w pozycji 0: kaszmirowy";"DPZK.01/42";"szt";483;"PLN"
26;"DOS.01/42/KON";"Oprawa oœwietleniowa LED, 230 V AC, 1.1 ";"W, bia³e ciep³e 3000K: kaszmirowy";"DOS.01/42";"szt";180,5;"PLN"
27;"DOSA.01/42/KON";"Oprawa oœwietleniowa LED, 230 V AC, 1.1 ";"W, bia³e zimne 5700K: kaszmirowy";"DOSA.01/42";"szt";180,5;"PLN"
28;"DOSB.01/42/KON";"Oprawa oœwietleniowa LED, 230 V AC, 1.1 ";"W, bia³e neutralne 4000K: kaszmirowy";"DOSB.01/42";"szt";180,5;"PLN"
29;"DOS14.01/42/KON";"Oprawa oœwietleniowa LED, 14 V DC, 0.42 ";"W, bia³e ciep³e 3000K: kaszmirowy !Wymagany zasilacz 14V";"DOS14.01/42";"szt";73,5;"PLN"
30;"DOS14A.01/42/KON";"Oprawa oœwietleniowa LED, 14 V DC, 0.56 ";"W, bia³e zimne 5700K: kaszmirowy !Wymagany zasilacz 14V";"DOS14A.01/42";"szt";73,5;"PLN"
31;"DOS14B.01/42/KON";"Oprawa oœwietleniowa LED, 14 V DC, 0.56 ";"W, bia³e neutralne 4000K: kaszmirowy !Wymagany zasilacz 14V";"DOS14B.01/42";"szt";73,5;"PLN"
32;"DOSC.01/42/KON";"Oprawa oœwietleniowa LED z czujnikiem ru";"chu, 230 V AC, 1.4 W, bia³e ciep³e 3000K: kaszmirowy";"DOSC.01/42";"szt";270,95;"PLN"
33;"DOSCA.01/42/KON";"Oprawa oœwietleniowa LED z czujnikiem ru";"chu, 230 V AC, 1.4 W, bia³e zimne 5700K: kaszmirowy";"DOSCA.01/42";"szt";270,95;"PLN"
34;"DOSCB.01/42/KON";"Oprawa oœwietleniowa LED z czujnikiem ru";"chu, 230 V AC, 1.4 W, bia³e neutralne 4000K: kaszmirowy";"DOSCB.01/42";"szt";270,95;"PLN"
35;"DOSC14.01/42/KON";"Oprawa oœwietleniowa LED z czujnikiem ru";"chu , 14 V DC, 0.78 W, bia³e ciep³e 3000K: kaszmirowy !Wymagany zasilacz 14V";"DOSC14.01/42";"szt";241,35;"PLN"
36;"DOSC14A.01/42/KON";"Oprawa oœwietleniowa LED bia³y. z czujni";"kiem , 14 V DC, 0,64 W, bia³e zimne 5700K: kaszmirowy !Wymagany zasilacz 14V";"DOSC14A.01/42";"szt";241,35;"PLN"
37;"DOSC14B.01/42/KON";"Oprawa oœwietleniowa LED z czujnikiem ru";"chu , 14 V DC, 0.78 W, bia³e neutralne 4000K: kaszmirowy !Wymagany zasilacz 14V";"DOSC14B.01/42";"szt";241,35;"PLN"
38;"DAK.01/42/KON";"Gniazdo antenowe R-TV koñcowe separowane";" (modu³) t³um.1dB: kaszmirowy";"DAK.01/42";"szt";83,55;"PLN"
39;"DAP10.01/42/KON";"Gniazdo antenowe R-TV przelotowe (modu³)";", t³umienie TV i R 10 dB: kaszmirowy";"DAP10.01/42";"szt";92,05;"PLN"
40;"DAZ.01/42/KON";"Gniazdo antenowe R-TV zakoñczeniowe do g";"niazd przelotowych (modu³): kaszmirowy";"DAZ.01/42";"szt";92,05;"PLN"
41;"DASP.01/42/KON";"Gniazdo antenowe R-TV-SAT przelotowe (mo";"du³): kaszmirowy";"DASP.01/42";"szt";147,05;"PLN"
42;"DAD.01/42/KON";"Gniazdo R-TV-DATA (modu³): kaszmirowy";"";"DAD.01/42";"szt";122,65;"PLN"
43;"DAD1.01/42/KON";"Gniazdo TV-DATA. Dwa porty wyjœciowe typ";"u ""F"" (modu³). Czêstotliwoœæ dla wejœcia 5-1000 MHz: kaszmirowy";"DAD1.01/42";"szt";116;"PLN"
44;"DAK1.01/42/KON";"Gniazdo antenowe TV pojedyncze (modu³). ";"Do instalacji indywidualnych: kaszmirowy";"DAK1.01/42";"szt";42,2;"PLN"
45;"DASF1.01/42/KON";"Gniazdo antenowe SAT pojedyncze (modu³).";" Do instalacji indywidualnych: kaszmirowy";"DASF1.01/42";"szt";40,8;"PLN"
46;"DASF2.01/42/KON";"Gniazdo antenowe typu ""F"" podwójne (modu";"³). Do instalacji indywidualnych: kaszmirowy";"DASF2.01/42";"szt";49;"PLN"
47;"DASFRJ45.01/42/KON";"Gniazdo antenowe typu ""F"" + RJ45 kat.6 (";"modu³): kaszmirowy";"DASFRJ45.01/42";"szt";98,85;"PLN"
48;"DT1.01/42/KON";"Gniazdo telefoniczne pojedyncze RJ12 (mo";"du³): kaszmirowy";"DT1.01/42";"szt";50,8;"PLN"
